PETS1,,,,,,,
frame,coneR1*,HSV,HSP,HSI,HSL,Y',Norm
44,0.329,0.4166336832,0.3660134547,0.3757604452,0.3797487582,0.3577753529,0.3570931192
49,0.31,0.3957089323,0.3677146534,0.3680990628,0.3719200372,0.3586453249,0.3446920866
67,0.278,0.5796832611,0.5447720946,0.5512466443,0.5506335038,0.5366678294,0.5378831072
73,0.382,0.5697356427,0.5490583649,0.5471058103,0.5479031746,0.5390021991,0.531011045
77,0.28,0.3960160783,0.3734478573,0.3720570289,0.3868322309,0.3672528021,0.3425185388
82,0.311,0.4086887222,0.382100867,0.3805421203,0.381925746,0.3739981524,0.3589852206
85,0.324,0.4175818669,0.3989388227,0.3959094634,0.4003074361,0.3924924053,0.3686635945
91,0.315,0.4250471802,0.4094098766,0.4069225667,0.4127506945,0.4038919024,0.3776791616
107,0.297,0.2817885684,0.2690957039,0.2608976968,0.2728051462,0.2645705623,0.2322804833
124,0.329,0.3767627789,0.3405159498,0.341547552,0.3525334819,0.3313814963,0.3234466475
139,0.304,0.5589527461,0.4885412646,0.5038087945,0.5175099491,0.4745836715,0.4985715924
167,0.334,0.4275112008,0.3948059331,0.3845310836,0.3957668775,0.3861898509,0.3656320498
,,0.1985540659,0.2267703534,0.2021748353,0.1896175839,0.2221548898,0.2046326852
PETs2,,,,,,,
frame,coneR1*,HSV,HSP,HSI,HSL,Y',Norm
9,0.591,0.6037517131,0.5284546401,0.5464898954,0.5552779166,0.5064393767,0.5408211829
19,0.639,0.5154479758,0.466709604,0.4764196113,0.4855712503,0.4328254848,0.4757781351
29,0.499,0.5222504818,0.4395894235,0.4444049418,0.460857102,0.4072258149,0.4470252703
54,0.448,0.2945412667,0.2833262502,0.2818449571,0.2811950791,0.2798987886,0.2553215392
77,0.442,0.2970858846,0.2832171199,0.2762011297,0.2817655429,0.2785755873,0.2479562208
78,0.471,0.3324213907,0.3166711528,0.3116284143,0.3149219466,0.3129420306,0.284656178
81,0.391,0.3524328439,0.3454171776,0.3473886793,0.3657055924,0.34553295,0.3116808637
84,0.356,0.3522019667,0.3439877816,0.3427968106,0.3607711845,0.3433358511,0.3071941805
88,0.498,0.3201567487,0.2991584672,0.2965475929,0.2992963543,0.2944510696,0.2687702418
115,0.73,0.4965489846,0.471198021,0.4714557138,0.4752671001,0.4627016222,0.4486779704
177,0.454,0.4441917487,0.4038022015,0.411048997,0.415734728,0.3962907189,0.3894854508
,,0.6705816077,0.7057667571,0.6896919047,0.6532729231,0.6957362604,0.6945302273
aton_highway1,,,,,,,
frame,coneR1*,HSV,HSP,HSI,HSL,Y',Norm
45,0.233,0.3264837052,0.3164406753,0.3164186472,0.3170989254,0.3130939,0.2745065744
65,0.311,0.3610981718,0.3478756971,0.3501645774,0.3516211493,0.3456918157,0.3201229272
85,0.214,0.3324899172,0.3281410481,0.327783951,0.3290848479,0.3257965726,0.2830015141
105,0.265,0.3285010824,0.3095927308,0.3096607976,0.3133853135,0.3066149101,0.2733181368
125,0.258,0.3616741172,0.3520568924,0.352165997,0.3530861495,0.3498044593,0.3174976108
145,0.275,0.3459644971,0.3324667035,0.335672974,0.3391704569,0.3289159916,0.2982599514
165,0.249,0.3335924234,0.3233577468,0.3229692501,0.3232135181,0.3202254387,0.2817369647
185,0.24,0.3324644928,0.3225140616,0.3226347645,0.3238362943,0.3199252655,0.2809628033
,,0.683685054,0.4771690254,0.5235779189,0.5604481428,0.4707739954,0.6694458799
aton_highway3,,,,,,,
frame,coneR1*,HSV,HSP,HSI,HSL,Y',Norm
101,0.468,0.6328072596,0.5708707492,0.5876545531,0.5826487211,0.5660366679,0.5788812541
201,0.325,0.6347594262,0.5792031323,0.5948946144,0.588595376,0.5742407102,0.5862833155
301,0.465,0.6892986386,0.6267941984,0.6427313511,0.6418073294,0.6227503145,0.6353805294
501,0.37,0.6369670178,0.5329183676,0.5757582736,0.5855178027,0.5156526358,0.5816117625
601,0.745,0.6851192107,0.636845323,0.6486177955,0.6460824789,0.6336171938,0.6392431361
801,0.361,0.5575876528,0.496302546,0.5144191693,0.5065779142,0.4909035571,0.5040983193
1401,0.73,0.7207155264,0.6856970453,0.6940684907,0.6941070313,0.6847673503,0.6863041151
,,0.7424117824,0.8141308312,0.7946054861,0.7801949863,0.8158763583,0.7732651826
aton_room,,,,,,,
frame,coneR1*,HSV,HSP,HSI,HSL,Y',Norm
85,0.751,0.6774241624,0.656887797,0.6606372507,0.6622779713,0.6561034019,0.639100147
95,0.745,0.4820485134,0.4610908487,0.4672045749,0.4701236425,0.460042968,0.4353561431
105,0.662,0.3934018639,0.3763430743,0.3820906472,0.3857369891,0.3750529762,0.351343185
115,0.634,0.3297272167,0.3069735174,0.3137628957,0.3197574959,0.3047052586,0.2855902579
125,0.824,0.3484089903,0.3209304415,0.3272818912,0.3324114456,0.3188816184,0.2995339252
135,0.887,0.4594553616,0.4236534176,0.4325895677,0.4412887396,0.4201839565,0.4058853374
145,0.77,0.5223568742,0.4944375773,0.501655463,0.5084039167,0.4922107646,0.4736799723
155,0.754,0.4317975733,0.4086670099,0.4146401131,0.4207921834,0.4062150909,0.3852762816
165,0.674,0.4152030758,0.3899851806,0.3964132529,0.4022493785,0.3883585637,0.3680015309
175,0.689,0.4167604378,0.3869414983,0.3949805867,0.4020100503,0.3848773973,0.3676727418
185,0.712,0.2834507292,0.2582244487,0.2641003159,0.2694843955,0.2559921359,0.2410138005
