PETS1,,,,,,,
frame,coneR1*,HSV,HSP,HSI,HSL,Y',Norm
44,0.329,0.449512,0.482914,0.467605,0.47656,0.454301,0.492834
49,0.31,0.454109,0.48609,0.475209,0.466527,0.469421,0.487389
67,0.278,0.593786,0.57641,0.617431,0.622681,0.609103,0.582199
73,0.382,0.576583,0.612134,0.631486,0.619865,0.62616,0.611739
77,0.28,0.38443,0.428838,0.442076,0.445247,0.439881,0.429275
82,0.311,0.450214,0.477126,0.479655,0.480533,0.476348,0.478857
85,0.324,0.475358,0.503948,0.49584,0.496114,0.495127,0.503259
91,0.315,0.47965,0.494187,0.505873,0.506665,0.506609,0.492406
107,0.297,0.264832,0.307926,0.307647,0.315008,0.313364,0.300368
124,0.329,0.337731,0.362314,0.369435,0.380708,0.358477,0.370686
139,0.304,0.520887,0.50819,0.54008,0.539585,0.529802,0.507774
167,0.334,0.378141,0.452567,0.448167,0.45517,0.44949,0.445528
,,0.1837705578,0.3195109707,0.2409348587,0.2221233609,0.23915228,0.313683891
PETS2,,,,,,,
frame,coneR1*,HSV,HSP,HSI,HSL,Y',Norm
9,0.591,0.572928,0.619505,0.624856,0.638791,0.595643,0.631965
19,0.639,0.47437,0.550669,0.568153,0.532392,0.524865,0.562467
29,0.499,0.473658,0.544142,0.537783,0.500446,0.513543,0.562565
54,0.448,0.34458,0.371606,0.364018,0.367567,0.364082,0.371389
77,0.442,0.294703,0.330985,0.329636,0.328373,0.332893,0.326381
78,0.471,0.332051,0.364224,0.363855,0.364674,0.365833,0.361097
81,0.391,0.322552,0.369763,0.377608,0.385827,0.376715,0.366912
84,0.356,0.340175,0.390556,0.391989,0.40148,0.393693,0.386116
88,0.498,0.307338,0.32941,0.328279,0.32931,0.326022,0.331156
115,0.73,0.553211,0.612755,0.589916,0.583105,0.587493,0.612201
177,0.454,0.486715,0.527381,0.495838,0.499513,0.487081,0.53512
,,0.7430874979,0.74107993,0.7457147971,0.7171166185,0.7477276409,0.7321917683
aton_highway1,,,,,,,
frame,coneR1*,HSV,HSP,HSI,HSL,Y',Norm
45,0.233,0.385668,0.41167,0.393088,0.396515,0.390687,0.413602
65,0.311,0.414811,0.431288,0.417494,0.419254,0.41525,0.432651
85,0.214,0.391033,0.42441,0.40542,0.408601,0.405106,0.423854
105,0.265,0.387993,0.460763,0.400136,0.403065,0.396785,0.462498
125,0.258,0.404009,0.438408,0.407944,0.41039,0.40683,0.439984
