PETs1,,,,,,
frame,coneR1*,coneR1',Original Detection,Adaptive Detection,Original Discrimination,Adaptive Discrimination
44,0.329,0.223804,69.2827,69.9578,75.9517,73.8973
49,0.31,0.246728,53.108,53.6512,83.4889,81.4617
67,0.278,0.402792,65.6433,58.9181,67.6909,71.1704
73,0.382,0.393097,66.2295,63.9344,64.7059,68.0561
77,0.28,0.192245,79.6947,82.1374,76.039,72.5529
82,0.311,0.222533,78.6989,80.3717,73.8816,69.7234
85,0.324,0.265211,68.8791,69.5225,66.9706,64.903
91,0.315,0.288086,71.5467,72.0817,68.4584,68.0297
107,0.297,0.0550418,63.1347,64.4592,80.6748,71.3574
124,0.329,0.117233,79.3729,86.3036,66.0321,47.3447
139,0.304,0.324891,89.7321,88.8393,57.1618,57.4271
167,0.334,0.173734,88.5057,89.1626,80.3523,77.3713
PETs2,,,,,,
frame,coneR1*,coneR1',Original Detection,Adaptive Detection,Original Discrimination,Adaptive Discrimination
9,0.591,0.392866,68.0879,68.0879,76.4585,78.5824
19,0.639,0.277102,33.5938,33.5938,84.7328,84.2682
29,0.499,0.251038,33.9921,33.9921,84.0453,83.1735
54,0.448,0.102197,99.115,99.115,66.7976,31.0413
77,0.442,0.0969234,99.2218,99.2218,70.5216,57.3393
78,0.471,0.129563,100,100,66.2837,49.4034
81,0.391,0.147082,96.9161,97.1689,76.2933,70.1039
84,0.356,0.157141,92.2688,92.6301,74.164,69.3635
88,0.498,0.11751,100,100,62.7468,43.525
115,0.73,0.374374,20.2454,20.2454,65.5239,67.8525
177,0.454,0.298634,73.6506,73.6506,69.8562,69.7363
aton_highway1,,,,,,
frame,coneR1*,coneR1',Original Detection,Adaptive Detection,Original Discrimination,Adaptive Discrimination
45,0.233,0.220497,75.55,87.2782,69.2299,61.9624
65,0.311,0.220315,67.158,72.2248,65.4284,52.7443
85,0.214,0.216213,73.1796,84.2697,58.4456,51.8659
105,0.265,0.209683,82.7473,88.022,69.9272,62.7913
125,0.258,0.233547,69.1618,81.1887,63.6085,54.9916
145,0.275,0.219385,72.2989,80.6568,64.8861,56.0676
165,0.249,0.223016,67.2983,77.5194,63.1035,55.607
185,0.24,0.229775,65.7503,76.8051,67.1285,60.3536
aton_highway3,,,,,,
frame,coneR1*,coneR1',Original Detection,Adaptive Detection,Original Discrimination,Adaptive Discrimination
101,0.468,0.387717,75.625,75.625,35.123,37.1365
201,0.325,0.394711,71.6456,67.3418,37.7417,39.9072
301,0.465,0.44571,72.1311,70.9016,45.23,50.0852
501,0.37,0.276136,73.5925,73.5925,67.1176,67.1176
601,0.745,0.476506,85.1695,82.6271,36.7862,45.6839
801,0.361,0.277987,74.0392,74.0392,34.5425,34.1364
1401,0.73,0.530566,80,80,41.2587,50.3497
aton_room,,,,,,
