-nan 80.9150 -nan 78.7893 -nan 13.5860 -nan 80.7301 -nan 100.0000
92.1286 68.2667 71.5078 66.1333 9.8670 100.0000 89.9113 91.8756 89.1353 99.6622
91.8400 70.8062 77.1200 68.6449 11.5200 92.7101 92.1600 88.5763 88.3200 99.8971
89.5213 70.7473 78.7840 75.9364 31.1772 100.0000 96.7658 95.7062 71.1514 99.8721
91.7733 68.6972 81.2310 75.8839 65.5088 92.6979 49.9086 94.1391 87.9951 99.8847
90.2584 73.1617 73.9960 79.2379 64.0159 95.7158 65.4871 91.8847 91.2922 99.9382
97.7730 65.7450 85.3696 74.8747 49.8608 100.0000 78.9360 88.6435 98.1132 99.6474
98.5376 69.3520 83.6030 76.4084 31.5806 86.7141 66.5837 79.2348 97.9154 98.7887
94.5548 73.4674 81.2940 77.2948 2.6265 100.0000 41.1275 96.0753 98.7828 99.6756
97.6821 63.5739 83.5541 71.4152 2.7042 100.0000 54.9117 91.7213 96.0265 100.0000
89.5111 66.2872 78.2815 71.6944 43.1704 77.8678 56.0593 92.4912 92.4741 99.6278
91.9643 71.8433 81.4560 70.1742 0.0000 83.0189 27.8159 88.9695 99.3819 100.0000
92.0339 62.4488 83.2768 75.1768 24.8588 100.0000 43.3333 96.5761 91.1864 100.0000
93.9740 61.4002 82.7532 72.6090 71.8961 10.2525 46.8571 94.6060 93.7662 100.0000
98.6334 73.9399 78.3762 80.5681 0.0000 79.1272 42.4437 93.9481 95.0161 99.7530
98.5844 80.1638 69.1608 85.9418 0.0000 89.0355 21.7391 95.4504 95.8544 100.0000
100.0000 65.7224 66.3185 80.6799 96.6057 16.9972 26.6319 90.7649 90.8616 100.0000
91.3101 75.9733 82.8176 83.2592 39.3680 100.0000 56.0237 93.4928 98.7492 100.0000
98.3452 41.1531 71.6312 64.6123 99.2908 13.3201 35.4610 96.0239 74.9409 100.0000
96.2472 40.7733 75.7174 66.0808 97.7925 14.0598 26.0486 96.1336 70.4194 100.0000
98.3099 39.7482 73.5211 60.0719 69.5775 99.8201 1.4085 99.8201 78.8732 100.0000
97.5610 41.9861 72.5610 64.9826 99.3902 7.4913 20.1220 98.7805 76.8293 100.0000
98.3819 44.5026 74.1100 73.6475 7.4434 100.0000 75.4045 98.9529 76.6990 100.0000
100.0000 43.9108 72.5240 70.6690 0.0000 100.0000 94.8882 95.3688 79.8722 100.0000
100.0000 31.6750 69.2029 64.3449 0.0000 100.0000 92.3913 92.5373 76.4493 100.0000
91.0588 34.3629 65.1765 58.0438 0.0000 86.7439 56.9412 96.5251 98.5882 99.3565
